id,corporateholidayid,corporateholidayphotourl,esid,createdby,createddate,modifiedby,modifieddate,holidaydate,holidayenddate,holidayname,holidaystartdate,holidaystatus,holidaytype,isallday
1463,COPHOL-1606103757007,,"{""esid"":""ES-1604913498275"",""essubcoID"":""SUBCO-160491349827518"",""esname"":""Bank Artha Graha Pekanbaru (KCI)""}",EMP-044515,11/25/2020 10:12,EMP-044515,,5/7/2020,5/7/2020 23:59,HARI RAYA WAISAK 2564,5/7/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
1464,COPHOL-1606103757008,,"{""esid"":""ES-1604913498275"",""essubcoID"":""SUBCO-160491349827518"",""esname"":""Bank Artha Graha Pekanbaru (KCI)""}",EMP-044515,11/25/2020 10:13,EMP-044515,,5/21/2020,5/21/2020 23:59,KENAIKAN ISA AL MASIH,5/21/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
1465,COPHOL-1606103757009,,"{""esid"":""ES-1604913498275"",""essubcoID"":""SUBCO-160491349827518"",""esname"":""Bank Artha Graha Pekanbaru (KCI)""}",EMP-044515,11/25/2020 10:13,EMP-044515,,5/22/2020,5/22/2020 23:59,HARI RAYA IDUL FITRI 1441 HIJRIAH,5/22/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-02"",""bizparStatus"":""ACTIVE"",""bizparValue"":""CUTI BERSAMA"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
1466,COPHOL-1606103757010,,"{""esid"":""ES-1604913498275"",""essubcoID"":""SUBCO-160491349827518"",""esname"":""Bank Artha Graha Pekanbaru (KCI)""}",EMP-044515,11/25/2020 10:13,EMP-044515,,5/24/2020,5/24/2020 23:59,HARI RAYA IDUL FITRI 1441 HIJRIAH,5/24/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
1467,COPHOL-1606103757011,,"{""esid"":""ES-1604913498275"",""essubcoID"":""SUBCO-160491349827518"",""esname"":""Bank Artha Graha Pekanbaru (KCI)""}",EMP-044515,11/25/2020 10:14,EMP-044515,,5/25/2020,5/25/2020 23:59,HARI RAYA IDUL FITRI 1441 HIJRIAH,5/25/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-02"",""bizparStatus"":""ACTIVE"",""bizparValue"":""CUTI BERSAMA"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
1468,COPHOL-1606103757012,,"{""esid"":""ES-1604913498275"",""essubcoID"":""SUBCO-160491349827518"",""esname"":""Bank Artha Graha Pekanbaru (KCI)""}",EMP-044515,11/25/2020 10:14,EMP-044515,,6/1/2020,6/1/2020 23:59,HARI LAHIR PANCASILA,6/1/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
1469,COPHOL-1606103757013,,"{""esid"":""ES-1604913498275"",""essubcoID"":""SUBCO-160491349827518"",""esname"":""Bank Artha Graha Pekanbaru (KCI)""}",EMP-044515,11/25/2020 10:14,EMP-044515,,7/31/2020,7/31/2020 23:59,HARI RAYA IDUL ADHA 1441 HIJRIAH,7/31/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
1470,COPHOL-1606103757014,,"{""esid"":""ES-1604913498275"",""essubcoID"":""SUBCO-160491349827518"",""esname"":""Bank Artha Graha Pekanbaru (KCI)""}",EMP-044515,11/25/2020 10:14,EMP-044515,,8/17/2020,8/17/2020 23:59,HARI KEMERDEKAAN RI,8/17/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
1471,COPHOL-1606103757015,,"{""esid"":""ES-1604913498275"",""essubcoID"":""SUBCO-160491349827518"",""esname"":""Bank Artha Graha Pekanbaru (KCI)""}",EMP-044515,11/25/2020 10:15,EMP-044515,,8/20/2020,8/20/2020 23:59,TAHUN BARU ISLAM 1442 HIJRIAH,8/20/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
1472,COPHOL-1606103757016,,"{""esid"":""ES-1604913498275"",""essubcoID"":""SUBCO-160491349827518"",""esname"":""Bank Artha Graha Pekanbaru (KCI)""}",EMP-044515,11/25/2020 10:15,EMP-044515,,8/21/2020,8/21/2020 23:59,TAHUN BARU ISLAM 1442 HIJRIAH,8/21/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-02"",""bizparStatus"":""ACTIVE"",""bizparValue"":""CUTI BERSAMA"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
1473,COPHOL-1606103757017,,"{""esid"":""ES-1604913498275"",""essubcoID"":""SUBCO-160491349827518"",""esname"":""Bank Artha Graha Pekanbaru (KCI)""}",EMP-044515,11/25/2020 10:16,EMP-044515,,10/28/2020,10/28/2020 23:59,MAULID NABI MUHAMMAD SAW,10/28/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-02"",""bizparStatus"":""ACTIVE"",""bizparValue"":""CUTI BERSAMA"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
1474,COPHOL-1606103757018,,"{""esid"":""ES-1604913498275"",""essubcoID"":""SUBCO-160491349827518"",""esname"":""Bank Artha Graha Pekanbaru (KCI)""}",EMP-044515,11/25/2020 10:16,EMP-044515,,10/29/2020,10/29/2020 23:59,MAULID NABI MUHAMMAD SAW,10/29/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
1475,COPHOL-1606103757019,,"{""esid"":""ES-1604913498275"",""essubcoID"":""SUBCO-160491349827518"",""esname"":""Bank Artha Graha Pekanbaru (KCI)""}",EMP-044515,11/25/2020 10:17,EMP-044515,,10/30/2020,10/30/2020 23:59,MAULID NABI MUHAMMAD SAW,10/30/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-02"",""bizparStatus"":""ACTIVE"",""bizparValue"":""CUTI BERSAMA"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
1476,COPHOL-1606103757020,,"{""esid"":""ES-1604913498275"",""essubcoID"":""SUBCO-160491349827518"",""esname"":""Bank Artha Graha Pekanbaru (KCI)""}",EMP-044515,11/25/2020 10:18,EMP-044515,,12/24/2020,12/24/2020 23:59,HARI RAYA NATAL,12/24/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-02"",""bizparStatus"":""ACTIVE"",""bizparValue"":""CUTI BERSAMA"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
1477,COPHOL-1606103757021,,"{""esid"":""ES-1604913498275"",""essubcoID"":""SUBCO-160491349827518"",""esname"":""Bank Artha Graha Pekanbaru (KCI)""}",EMP-044515,11/25/2020 10:18,EMP-044515,,12/25/2020,12/25/2020 23:59,HARI RAYA NATAL,12/25/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
1478,COPHOL-1606103757022,,"{""esid"":""ES-1604913498275"",""essubcoID"":""SUBCO-160491349827518"",""esname"":""Bank Artha Graha Pekanbaru (KCI)""}",EMP-044515,11/25/2020 10:19,EMP-044515,,12/28/2020,12/28/2020 23:59,PENGGANTI CUTI BERSAMA HARI RAYA IDUL FITRI 1441 HIJRIAH,12/28/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-02"",""bizparStatus"":""ACTIVE"",""bizparValue"":""CUTI BERSAMA"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
1479,COPHOL-1606103757023,,"{""esid"":""ES-1604913498275"",""essubcoID"":""SUBCO-160491349827518"",""esname"":""Bank Artha Graha Pekanbaru (KCI)""}",EMP-044515,11/25/2020 10:19,EMP-044515,,12/29/2020,12/29/2020 23:59,PENGGANTI CUTI BERSAMA HARI RAYA IDUL FITRI 1441 HIJRIAH,12/29/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-02"",""bizparStatus"":""ACTIVE"",""bizparValue"":""CUTI BERSAMA"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
1480,COPHOL-1606103757024,,"{""esid"":""ES-1604913498275"",""essubcoID"":""SUBCO-160491349827518"",""esname"":""Bank Artha Graha Pekanbaru (KCI)""}",EMP-044515,11/25/2020 10:19,EMP-044515,,12/30/2020,12/30/2020 23:59,PENGGANTI CUTI BERSAMA HARI RAYA IDUL FITRI 1441 HIJRIAH,12/30/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-02"",""bizparStatus"":""ACTIVE"",""bizparValue"":""CUTI BERSAMA"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
1481,COPHOL-1606103757025,,"{""esid"":""ES-1604913498275"",""essubcoID"":""SUBCO-160491349827518"",""esname"":""Bank Artha Graha Pekanbaru (KCI)""}",EMP-044515,11/25/2020 10:19,EMP-044515,,12/31/2020,12/31/2020 23:59,PENGGANTI CUTI BERSAMA HARI RAYA IDUL FITRI 1441 HIJRIAH,12/31/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-02"",""bizparStatus"":""ACTIVE"",""bizparValue"":""CUTI BERSAMA"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
1482,COPHOL-1606103757026,,"{""esid"":""ES-1604913498275"",""essubcoID"":""SUBCO-160491349827518"",""esname"":""Bank Artha Graha Pekanbaru (KCI)""}",EMP-044515,11/25/2020 10:20,EMP-044515,,1/1/2021,1/1/2021 23:59,TAHUN BARU 2021 MASEHI,1/1/2021 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
1483,COPHOL-1606103758001,,"{""esid"":""ES-1604913552830"",""essubcoID"":""SUBCO-160491355283012"",""esname"":""Bank Artha Graha Riau Pekanbaru (KCP)""}",EMP-044515,11/25/2020 10:10,EMP-044515,,1/1/2020,1/1/2020 23:59,TAHUN BARU 2020 MASEHI,1/1/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
1484,COPHOL-1606103758002,,"{""esid"":""ES-1604913552830"",""essubcoID"":""SUBCO-160491355283012"",""esname"":""Bank Artha Graha Riau Pekanbaru (KCP)""}",EMP-044515,11/25/2020 10:10,EMP-044515,,1/25/2020,1/25/2020 23:59,TAHUN BARU IMLEK 2571 KONGZLI,1/25/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
1485,COPHOL-1606103758003,,"{""esid"":""ES-1604913552830"",""essubcoID"":""SUBCO-160491355283012"",""esname"":""Bank Artha Graha Riau Pekanbaru (KCP)""}",EMP-044515,11/25/2020 10:10,EMP-044515,,3/22/2020,3/22/2020 23:59,ISRA' MIRAJ NABI MUHAMMAD SAW,3/22/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
1486,COPHOL-1606103758004,,"{""esid"":""ES-1604913552830"",""essubcoID"":""SUBCO-160491355283012"",""esname"":""Bank Artha Graha Riau Pekanbaru (KCP)""}",EMP-044515,11/25/2020 10:11,EMP-044515,,3/25/2020,3/25/2020 23:59,HARI RAYA NYEPI TAHUN BARU SAKA 1941,3/25/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
1487,COPHOL-1606103758005,,"{""esid"":""ES-1604913552830"",""essubcoID"":""SUBCO-160491355283012"",""esname"":""Bank Artha Graha Riau Pekanbaru (KCP)""}",EMP-044515,11/25/2020 10:12,EMP-044515,,4/10/2020,4/10/2020 23:59,WAFAT ISA AL-MASIH,4/10/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
1488,COPHOL-1606103758006,,"{""esid"":""ES-1604913552830"",""essubcoID"":""SUBCO-160491355283012"",""esname"":""Bank Artha Graha Riau Pekanbaru (KCP)""}",EMP-044515,11/25/2020 10:12,EMP-044515,,5/1/2020,5/1/2020 23:59,HARI BURUH INTERNASIONAL,5/1/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
1489,COPHOL-1606103758007,,"{""esid"":""ES-1604913552830"",""essubcoID"":""SUBCO-160491355283012"",""esname"":""Bank Artha Graha Riau Pekanbaru (KCP)""}",EMP-044515,11/25/2020 10:12,EMP-044515,,5/7/2020,5/7/2020 23:59,HARI RAYA WAISAK 2564,5/7/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
1490,COPHOL-1606103758008,,"{""esid"":""ES-1604913552830"",""essubcoID"":""SUBCO-160491355283012"",""esname"":""Bank Artha Graha Riau Pekanbaru (KCP)""}",EMP-044515,11/25/2020 10:13,EMP-044515,,5/21/2020,5/21/2020 23:59,KENAIKAN ISA AL MASIH,5/21/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
1491,COPHOL-1606103758009,,"{""esid"":""ES-1604913552830"",""essubcoID"":""SUBCO-160491355283012"",""esname"":""Bank Artha Graha Riau Pekanbaru (KCP)""}",EMP-044515,11/25/2020 10:13,EMP-044515,,5/22/2020,5/22/2020 23:59,HARI RAYA IDUL FITRI 1441 HIJRIAH,5/22/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-02"",""bizparStatus"":""ACTIVE"",""bizparValue"":""CUTI BERSAMA"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
1492,COPHOL-1606103758010,,"{""esid"":""ES-1604913552830"",""essubcoID"":""SUBCO-160491355283012"",""esname"":""Bank Artha Graha Riau Pekanbaru (KCP)""}",EMP-044515,11/25/2020 10:13,EMP-044515,,5/24/2020,5/24/2020 23:59,HARI RAYA IDUL FITRI 1441 HIJRIAH,5/24/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
1493,COPHOL-1606103758011,,"{""esid"":""ES-1604913552830"",""essubcoID"":""SUBCO-160491355283012"",""esname"":""Bank Artha Graha Riau Pekanbaru (KCP)""}",EMP-044515,11/25/2020 10:14,EMP-044515,,5/25/2020,5/25/2020 23:59,HARI RAYA IDUL FITRI 1441 HIJRIAH,5/25/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-02"",""bizparStatus"":""ACTIVE"",""bizparValue"":""CUTI BERSAMA"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
1494,COPHOL-1606103758012,,"{""esid"":""ES-1604913552830"",""essubcoID"":""SUBCO-160491355283012"",""esname"":""Bank Artha Graha Riau Pekanbaru (KCP)""}",EMP-044515,11/25/2020 10:14,EMP-044515,,6/1/2020,6/1/2020 23:59,HARI LAHIR PANCASILA,6/1/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
1495,COPHOL-1606103758013,,"{""esid"":""ES-1604913552830"",""essubcoID"":""SUBCO-160491355283012"",""esname"":""Bank Artha Graha Riau Pekanbaru (KCP)""}",EMP-044515,11/25/2020 10:14,EMP-044515,,7/31/2020,7/31/2020 23:59,HARI RAYA IDUL ADHA 1441 HIJRIAH,7/31/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
1496,COPHOL-1606103758014,,"{""esid"":""ES-1604913552830"",""essubcoID"":""SUBCO-160491355283012"",""esname"":""Bank Artha Graha Riau Pekanbaru (KCP)""}",EMP-044515,11/25/2020 10:14,EMP-044515,,8/17/2020,8/17/2020 23:59,HARI KEMERDEKAAN RI,8/17/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
1497,COPHOL-1606103758015,,"{""esid"":""ES-1604913552830"",""essubcoID"":""SUBCO-160491355283012"",""esname"":""Bank Artha Graha Riau Pekanbaru (KCP)""}",EMP-044515,11/25/2020 10:15,EMP-044515,,8/20/2020,8/20/2020 23:59,TAHUN BARU ISLAM 1442 HIJRIAH,8/20/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
1498,COPHOL-1606103758016,,"{""esid"":""ES-1604913552830"",""essubcoID"":""SUBCO-160491355283012"",""esname"":""Bank Artha Graha Riau Pekanbaru (KCP)""}",EMP-044515,11/25/2020 10:15,EMP-044515,,8/21/2020,8/21/2020 23:59,TAHUN BARU ISLAM 1442 HIJRIAH,8/21/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-02"",""bizparStatus"":""ACTIVE"",""bizparValue"":""CUTI BERSAMA"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
1499,COPHOL-1606103758017,,"{""esid"":""ES-1604913552830"",""essubcoID"":""SUBCO-160491355283012"",""esname"":""Bank Artha Graha Riau Pekanbaru (KCP)""}",EMP-044515,11/25/2020 10:16,EMP-044515,,10/28/2020,10/28/2020 23:59,MAULID NABI MUHAMMAD SAW,10/28/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-02"",""bizparStatus"":""ACTIVE"",""bizparValue"":""CUTI BERSAMA"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
1500,COPHOL-1606103758018,,"{""esid"":""ES-1604913552830"",""essubcoID"":""SUBCO-160491355283012"",""esname"":""Bank Artha Graha Riau Pekanbaru (KCP)""}",EMP-044515,11/25/2020 10:16,EMP-044515,,10/29/2020,10/29/2020 23:59,MAULID NABI MUHAMMAD SAW,10/29/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
